Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final
65044,12/1/2019,Shopping SP Market,Camisa Linho,1,R$ 141.00,R$ 141.00
65044,12/1/2019,Shopping SP Market,Short Linho,1,R$ 133.00,R$ 133.00
65045,12/1/2019,Shopping Center Interlagos,Pulseira,2,R$ 70.00,R$ 140.00
65046,12/1/2019,Rio Mar Shopping Fortaleza,Gorro Listrado,2,R$ 97.00,R$ 194.00
65047,12/1/2019,Salvador Shopping,Calça Listrado,1,R$ 181.00,R$ 181.00
65047,12/1/2019,Salvador Shopping,Bermuda Xadrez,5,R$ 155.00,R$ 775.00
65047,12/1/2019,Salvador Shopping,Terno Listrado,3,R$ 709.00,"R$ 2,127.00"
65048,12/1/2019,Bourbon Shopping SP,Tênis Liso,3,R$ 266.00,R$ 798.00
65049,12/1/2019,Iguatemi Esplanada,Terno Linho,5,R$ 750.00,"R$ 3,750.00"
65049,12/1/2019,Iguatemi Esplanada,Gorro Xadrez,1,R$ 85.00,R$ 85.00
65050,12/1/2019,Rio Mar Recife,Camisa Gola V Xadrez,2,R$ 107.00,R$ 214.00
65051,12/1/2019,Novo Shopping Ribeirão Preto,Polo,1,R$ 130.00,R$ 130.00
65053,12/1/2019,Shopping Center Leste Aricanduva,Camisa Gola V Estampa,4,R$ 118.00,R$ 472.00
65054,12/1/2019,Center Shopping Uberlândia,Sunga Linho,5,R$ 149.00,R$ 745.00
65055,12/1/2019,Shopping União de Osasco,Camiseta Estampa,2,R$ 196.00,R$ 392.00
65055,12/1/2019,Shopping União de Osasco,Gorro Listrado,2,R$ 97.00,R$ 194.00
65056,12/1/2019,Iguatemi Campinas,Calça,2,R$ 170.00,R$ 340.00
65056,12/1/2019,Iguatemi Campinas,Bermuda Estampa,1,R$ 169.00,R$ 169.00
65056,12/1/2019,Iguatemi Campinas,Mochila Xadrez,5,R$ 283.00,"R$ 1,415.00"
65057,12/1/2019,Shopping Vila Velha,Pulseira Listrado,2,R$ 79.00,R$ 158.00
65058,12/1/2019,Shopping Ibirapuera,Meia Estampa,2,R$ 50.00,R$ 100.00
65058,12/1/2019,Shopping Ibirapuera,Sunga Estampa,2,R$ 120.00,R$ 240.00
65058,12/1/2019,Shopping Ibirapuera,Gorro Listrado,1,R$ 97.00,R$ 97.00
65060,12/1/2019,Shopping Ibirapuera,Gorro Xadrez,4,R$ 85.00,R$ 340.00
65060,12/1/2019,Shopping Ibirapuera,Calça Liso,1,R$ 190.00,R$ 190.00
65062,12/1/2019,Rio Mar Shopping Fortaleza,Sunga,2,R$ 100.00,R$ 200.00
65062,12/1/2019,Rio Mar Shopping Fortaleza,Camisa Gola V Liso,3,R$ 118.00,R$ 354.00
65062,12/1/2019,Rio Mar Shopping Fortaleza,Mochila Linho,1,R$ 311.00,R$ 311.00
65062,12/1/2019,Rio Mar Shopping Fortaleza,Pulseira Xadrez,2,R$ 87.00,R$ 174.00
65062,12/1/2019,Rio Mar Shopping Fortaleza,Cinto Listrado,1,R$ 214.00,R$ 214.00
65063,12/1/2019,Parque Dom Pedro Shopping,Meia Estampa,1,R$ 50.00,R$ 50.00
65063,12/1/2019,Parque Dom Pedro Shopping,Terno Liso,2,R$ 720.00,"R$ 1,440.00"
65064,12/1/2019,Shopping Recife,Short Linho,2,R$ 133.00,R$ 266.00
65066,12/1/2019,Shopping Ibirapuera,Gorro Linho,1,R$ 124.00,R$ 124.00
65066,12/1/2019,Shopping Ibirapuera,Polo Listrado,1,R$ 149.00,R$ 149.00
65066,12/1/2019,Shopping Ibirapuera,Gorro Xadrez,3,R$ 85.00,R$ 255.00
65068,12/1/2019,Shopping Morumbi,Mochila Listrado,1,R$ 275.00,R$ 275.00
65070,12/1/2019,Ribeirão Shopping,Tênis Estampa,3,R$ 256.00,R$ 768.00
65070,12/1/2019,Ribeirão Shopping,Terno,1,R$ 700.00,R$ 700.00
65070,12/1/2019,Ribeirão Shopping,Camisa,2,R$ 100.00,R$ 200.00
65071,12/1/2019,Shopping Recife,Cueca Xadrez,3,R$ 60.00,R$ 180.00
65071,12/1/2019,Shopping Recife,Camisa,2,R$ 100.00,R$ 200.00
65071,12/1/2019,Shopping Recife,Meia Xadrez,2,R$ 41.00,R$ 82.00
65071,12/1/2019,Shopping Recife,Polo Linho,5,R$ 176.00,R$ 880.00
65071,12/1/2019,Shopping Recife,Short Estampa,4,R$ 96.00,R$ 384.00
65072,12/1/2019,Ribeirão Shopping,Bermuda Liso,5,R$ 157.00,R$ 785.00
65074,12/1/2019,Shopping Center Interlagos,Relógio,1,R$ 200.00,R$ 200.00
65074,12/1/2019,Shopping Center Interlagos,Tênis Liso,1,R$ 266.00,R$ 266.00
65076,12/1/2019,Shopping SP Market,Cueca Linho,1,R$ 93.00,R$ 93.00
65076,12/1/2019,Shopping SP Market,Camiseta Linho,1,R$ 223.00,R$ 223.00
65076,12/1/2019,Shopping SP Market,Tênis Xadrez,1,R$ 259.00,R$ 259.00
65077,12/1/2019,Center Shopping Uberlândia,Cueca Listrado,1,R$ 67.00,R$ 67.00
65080,12/1/2019,Shopping Barra,Cueca Liso,1,R$ 69.00,R$ 69.00
65080,12/1/2019,Shopping Barra,Terno Xadrez,1,R$ 709.00,R$ 709.00
65081,12/1/2019,Iguatemi Esplanada,Relógio Liso,3,R$ 216.00,R$ 648.00
65081,12/1/2019,Iguatemi Esplanada,Cinto Liso,3,R$ 209.00,R$ 627.00
65081,12/1/2019,Iguatemi Esplanada,Bermuda Xadrez,1,R$ 155.00,R$ 155.00
65081,12/1/2019,Iguatemi Esplanada,Cinto Liso,1,R$ 209.00,R$ 209.00
65082,12/1/2019,Novo Shopping Ribeirão Preto,Terno Listrado,4,R$ 709.00,"R$ 2,836.00"
65083,12/1/2019,Shopping Recife,Chinelo Linho,2,R$ 105.00,R$ 210.00
65087,12/1/2019,Shopping Morumbi,Chinelo Estampa,1,R$ 74.00,R$ 74.00
65087,12/1/2019,Shopping Morumbi,Sapato Xadrez,1,R$ 368.00,R$ 368.00
65087,12/1/2019,Shopping Morumbi,Camiseta Xadrez,3,R$ 200.00,R$ 600.00
65087,12/1/2019,Shopping Morumbi,Cueca Linho,3,R$ 93.00,R$ 279.00
65088,12/1/2019,Iguatemi Esplanada,Camiseta Listrado,1,R$ 197.00,R$ 197.00
65089,12/1/2019,Shopping Recife,Casaco Xadrez,3,R$ 259.00,R$ 777.00
65091,12/1/2019,Novo Shopping Ribeirão Preto,Short Listrado,3,R$ 102.00,R$ 306.00
65091,12/1/2019,Novo Shopping Ribeirão Preto,Casaco Xadrez,1,R$ 259.00,R$ 259.00
65093,12/1/2019,Rio Mar Recife,Bermuda Xadrez,3,R$ 155.00,R$ 465.00
65093,12/1/2019,Rio Mar Recife,Calça Listrado,1,R$ 181.00,R$ 181.00
65093,12/1/2019,Rio Mar Recife,Casaco Xadrez,1,R$ 259.00,R$ 259.00
65094,12/1/2019,Shopping SP Market,Sunga,2,R$ 100.00,R$ 200.00
65094,12/1/2019,Shopping SP Market,Camiseta Xadrez,5,R$ 200.00,"R$ 1,000.00"
65095,12/1/2019,Shopping Midway Mall,Pulseira Liso,1,R$ 87.00,R$ 87.00
65096,12/1/2019,Ribeirão Shopping,Mochila Linho,1,R$ 311.00,R$ 311.00
65096,12/1/2019,Ribeirão Shopping,Mochila Liso,1,R$ 276.00,R$ 276.00
65097,12/1/2019,Shopping Recife,Gorro Estampa,3,R$ 93.00,R$ 279.00
65098,12/1/2019,Shopping Iguatemi Fortaleza,Terno Linho,3,R$ 750.00,"R$ 2,250.00"
65098,12/1/2019,Shopping Iguatemi Fortaleza,Meia Linho,2,R$ 78.00,R$ 156.00
65099,12/1/2019,Shopping SP Market,Calça,3,R$ 170.00,R$ 510.00
65099,12/1/2019,Shopping SP Market,Short,3,R$ 90.00,R$ 270.00
65099,12/1/2019,Shopping SP Market,Bermuda Listrado,3,R$ 163.00,R$ 489.00
65100,12/1/2019,Shopping Center Leste Aricanduva,Camisa Gola V Estampa,1,R$ 118.00,R$ 118.00
65100,12/1/2019,Shopping Center Leste Aricanduva,Short,4,R$ 90.00,R$ 360.00
65100,12/1/2019,Shopping Center Leste Aricanduva,Sunga Linho,2,R$ 149.00,R$ 298.00
65100,12/1/2019,Shopping Center Leste Aricanduva,Gorro,4,R$ 80.00,R$ 320.00
65101,12/1/2019,Bourbon Shopping SP,Casaco Linho,3,R$ 299.00,R$ 897.00
65102,12/1/2019,Passei das Águas Shopping,Camisa Gola V Xadrez,2,R$ 107.00,R$ 214.00
65104,12/1/2019,Salvador Shopping,Terno Estampa,5,R$ 706.00,"R$ 3,530.00"
65106,12/1/2019,Rio Mar Recife,Chinelo Xadrez,5,R$ 66.00,R$ 330.00
65106,12/1/2019,Rio Mar Recife,Cinto Estampa,1,R$ 209.00,R$ 209.00
65106,12/1/2019,Rio Mar Recife,Camisa Xadrez,1,R$ 105.00,R$ 105.00
65106,12/1/2019,Rio Mar Recife,Casaco Estampa,4,R$ 256.00,"R$ 1,024.00"
65106,12/1/2019,Rio Mar Recife,Sunga,5,R$ 100.00,R$ 500.00
65106,12/1/2019,Rio Mar Recife,Terno,1,R$ 700.00,R$ 700.00
65108,12/1/2019,Shopping Midway Mall,Meia Estampa,2,R$ 50.00,R$ 100.00
65109,12/1/2019,Passei das Águas Shopping,Camiseta Estampa,5,R$ 196.00,R$ 980.00
65111,12/1/2019,Salvador Shopping,Tênis Linho,1,R$ 294.00,R$ 294.00
65112,12/1/2019,Passei das Águas Shopping,Pulseira Linho,1,R$ 114.00,R$ 114.00
65113,12/1/2019,Novo Shopping Ribeirão Preto,Tênis Liso,1,R$ 266.00,R$ 266.00
65113,12/1/2019,Novo Shopping Ribeirão Preto,Casaco Linho,1,R$ 299.00,R$ 299.00
65114,12/1/2019,Novo Shopping Ribeirão Preto,Sunga Listrado,2,R$ 114.00,R$ 228.00
65115,12/1/2019,Shopping SP Market,Meia Liso,2,R$ 38.00,R$ 76.00
65116,12/1/2019,Novo Shopping Ribeirão Preto,Mochila Estampa,1,R$ 277.00,R$ 277.00
65116,12/1/2019,Novo Shopping Ribeirão Preto,Bermuda Estampa,4,R$ 169.00,R$ 676.00
65117,12/1/2019,Shopping Barra,Cinto Xadrez,1,R$ 215.00,R$ 215.00
65117,12/1/2019,Shopping Barra,Mochila Liso,3,R$ 276.00,R$ 828.00
65118,12/1/2019,Shopping Barra,Sapato,5,R$ 350.00,"R$ 1,750.00"
65118,12/1/2019,Shopping Barra,Calça Linho,1,R$ 211.00,R$ 211.00
65119,12/1/2019,Shopping Morumbi,Mochila Xadrez,2,R$ 283.00,R$ 566.00
65120,12/1/2019,Shopping Midway Mall,Sapato,2,R$ 350.00,R$ 700.00
65121,12/1/2019,Shopping Ibirapuera,Cinto Listrado,4,R$ 214.00,R$ 856.00
65121,12/1/2019,Shopping Ibirapuera,Terno Listrado,1,R$ 709.00,R$ 709.00
65121,12/1/2019,Shopping Ibirapuera,Tênis,3,R$ 250.00,R$ 750.00
65123,12/1/2019,Passei das Águas Shopping,Camiseta Xadrez,2,R$ 200.00,R$ 400.00
65123,12/1/2019,Passei das Águas Shopping,Chinelo Liso,3,R$ 71.00,R$ 213.00
65123,12/1/2019,Passei das Águas Shopping,Camisa Liso,2,R$ 105.00,R$ 210.00
65124,12/1/2019,Shopping Midway Mall,Camisa Gola V Estampa,5,R$ 118.00,R$ 590.00
65125,12/1/2019,Ribeirão Shopping,Relógio Xadrez,2,R$ 214.00,R$ 428.00
65125,12/1/2019,Ribeirão Shopping,Gorro Xadrez,3,R$ 85.00,R$ 255.00
65125,12/1/2019,Ribeirão Shopping,Casaco Listrado,5,R$ 269.00,"R$ 1,345.00"
65125,12/1/2019,Ribeirão Shopping,Cinto Listrado,4,R$ 214.00,R$ 856.00
65126,12/1/2019,Shopping União de Osasco,Sunga Estampa,1,R$ 120.00,R$ 120.00
65126,12/1/2019,Shopping União de Osasco,Calça,1,R$ 170.00,R$ 170.00
65126,12/1/2019,Shopping União de Osasco,Cueca Xadrez,1,R$ 60.00,R$ 60.00
65126,12/1/2019,Shopping União de Osasco,Cinto Liso,3,R$ 209.00,R$ 627.00
65126,12/1/2019,Shopping União de Osasco,Casaco Linho,1,R$ 299.00,R$ 299.00
65126,12/1/2019,Shopping União de Osasco,Chinelo Estampa,2,R$ 74.00,R$ 148.00
65128,12/1/2019,Shopping Vila Velha,Camisa Estampa,1,R$ 113.00,R$ 113.00
65129,12/1/2019,Shopping Vila Velha,Cinto Listrado,2,R$ 214.00,R$ 428.00
65131,12/1/2019,Bourbon Shopping SP,Gorro Xadrez,2,R$ 85.00,R$ 170.00
65131,12/1/2019,Bourbon Shopping SP,Gorro Listrado,4,R$ 97.00,R$ 388.00
65131,12/1/2019,Bourbon Shopping SP,Mochila,2,R$ 270.00,R$ 540.00
65132,12/1/2019,Palladium Shopping Curitiba,Gorro Listrado,2,R$ 97.00,R$ 194.00
65132,12/1/2019,Palladium Shopping Curitiba,Mochila Estampa,2,R$ 277.00,R$ 554.00
65132,12/1/2019,Palladium Shopping Curitiba,Polo Listrado,1,R$ 149.00,R$ 149.00
65132,12/1/2019,Palladium Shopping Curitiba,Polo Estampa,2,R$ 138.00,R$ 276.00
65133,12/1/2019,Salvador Shopping,Polo Listrado,1,R$ 149.00,R$ 149.00
65133,12/1/2019,Salvador Shopping,Calça,1,R$ 170.00,R$ 170.00
65133,12/1/2019,Salvador Shopping,Mochila Xadrez,2,R$ 283.00,R$ 566.00
65135,12/1/2019,Shopping Barra,Camisa Gola V Liso,2,R$ 118.00,R$ 236.00
65136,12/1/2019,Rio Mar Recife,Sunga Xadrez,1,R$ 116.00,R$ 116.00
65136,12/1/2019,Rio Mar Recife,Calça,3,R$ 170.00,R$ 510.00
65137,12/1/2019,Shopping Vila Velha,Polo Linho,4,R$ 176.00,R$ 704.00
65139,12/1/2019,Parque Dom Pedro Shopping,Pulseira Liso,5,R$ 87.00,R$ 435.00
65139,12/1/2019,Parque Dom Pedro Shopping,Terno Linho,2,R$ 750.00,"R$ 1,500.00"
65140,12/1/2019,Shopping Midway Mall,Cueca Xadrez,2,R$ 60.00,R$ 120.00
65141,12/1/2019,Passei das Águas Shopping,Cueca Liso,1,R$ 69.00,R$ 69.00
65141,12/1/2019,Passei das Águas Shopping,Mochila,3,R$ 270.00,R$ 810.00
65142,12/1/2019,Shopping Midway Mall,Camisa Xadrez,1,R$ 105.00,R$ 105.00
65143,12/1/2019,Novo Shopping Ribeirão Preto,Calça Liso,3,R$ 190.00,R$ 570.00
65143,12/1/2019,Novo Shopping Ribeirão Preto,Cinto Xadrez,1,R$ 215.00,R$ 215.00
65144,12/1/2019,Shopping Eldorado,Calça Xadrez,1,R$ 185.00,R$ 185.00
65145,12/1/2019,Shopping Vila Velha,Cueca Linho,4,R$ 93.00,R$ 372.00
65145,12/1/2019,Shopping Vila Velha,Camisa Liso,1,R$ 105.00,R$ 105.00
65145,12/1/2019,Shopping Vila Velha,Mochila Xadrez,2,R$ 283.00,R$ 566.00
65146,12/1/2019,Salvador Shopping,Camisa Gola V Listrado,5,R$ 116.00,R$ 580.00
65146,12/1/2019,Salvador Shopping,Cinto Xadrez,3,R$ 215.00,R$ 645.00
65146,12/1/2019,Salvador Shopping,Bermuda,4,R$ 150.00,R$ 600.00
65146,12/1/2019,Salvador Shopping,Relógio Liso,3,R$ 216.00,R$ 648.00
65148,12/1/2019,Palladium Shopping Curitiba,Sapato Xadrez,3,R$ 368.00,"R$ 1,104.00"
65150,12/1/2019,Parque Dom Pedro Shopping,Tênis Estampa,1,R$ 256.00,R$ 256.00
65151,12/1/2019,Rio Mar Recife,Camisa Liso,4,R$ 105.00,R$ 420.00
65151,12/1/2019,Rio Mar Recife,Chinelo Estampa,1,R$ 74.00,R$ 74.00
65151,12/1/2019,Rio Mar Recife,Tênis Listrado,1,R$ 262.00,R$ 262.00
65152,12/1/2019,Shopping SP Market,Polo Linho,2,R$ 176.00,R$ 352.00
65152,12/1/2019,Shopping SP Market,Meia Listrado,3,R$ 37.00,R$ 111.00
65152,12/1/2019,Shopping SP Market,Relógio Estampa,2,R$ 219.00,R$ 438.00
65154,12/1/2019,Rio Mar Shopping Fortaleza,Casaco,2,R$ 250.00,R$ 500.00
65154,12/1/2019,Rio Mar Shopping Fortaleza,Calça Listrado,3,R$ 181.00,R$ 543.00
65155,12/1/2019,Palladium Shopping Curitiba,Terno Listrado,1,R$ 709.00,R$ 709.00
65155,12/1/2019,Palladium Shopping Curitiba,Cueca Estampa,1,R$ 66.00,R$ 66.00
65155,12/1/2019,Palladium Shopping Curitiba,Camisa Gola V,4,R$ 100.00,R$ 400.00
65157,12/1/2019,Iguatemi Campinas,Mochila Liso,2,R$ 276.00,R$ 552.00
65157,12/1/2019,Iguatemi Campinas,Relógio Estampa,2,R$ 219.00,R$ 438.00
65157,12/1/2019,Iguatemi Campinas,Terno Linho,3,R$ 750.00,"R$ 2,250.00"
65159,12/1/2019,Shopping Eldorado,Mochila Linho,2,R$ 311.00,R$ 622.00
65160,12/1/2019,Shopping Eldorado,Pulseira Estampa,5,R$ 87.00,R$ 435.00
65160,12/1/2019,Shopping Eldorado,Gorro,1,R$ 80.00,R$ 80.00
65160,12/1/2019,Shopping Eldorado,Short Xadrez,1,R$ 100.00,R$ 100.00
65160,12/1/2019,Shopping Eldorado,Meia Estampa,4,R$ 50.00,R$ 200.00
65161,12/1/2019,Palladium Shopping Curitiba,Calça,1,R$ 170.00,R$ 170.00
65161,12/1/2019,Palladium Shopping Curitiba,Camisa Gola V Listrado,3,R$ 116.00,R$ 348.00
65165,12/1/2019,Shopping Morumbi,Casaco Estampa,1,R$ 256.00,R$ 256.00
65167,12/1/2019,Parque Dom Pedro Shopping,Camisa Gola V Listrado,1,R$ 116.00,R$ 116.00
65168,12/1/2019,Iguatemi Campinas,Chinelo Listrado,1,R$ 73.00,R$ 73.00
65168,12/1/2019,Iguatemi Campinas,Camiseta Estampa,2,R$ 196.00,R$ 392.00
65168,12/1/2019,Iguatemi Campinas,Sapato Liso,2,R$ 368.00,R$ 736.00
65169,12/1/2019,Shopping Iguatemi Fortaleza,Camisa Gola V Liso,4,R$ 118.00,R$ 472.00
65170,12/1/2019,Shopping Eldorado,Terno Estampa,1,R$ 706.00,R$ 706.00
65170,12/1/2019,Shopping Eldorado,Camisa Gola V Liso,2,R$ 118.00,R$ 236.00
65171,12/1/2019,Shopping Barra,Polo Estampa,2,R$ 138.00,R$ 276.00
65171,12/1/2019,Shopping Barra,Meia Listrado,1,R$ 37.00,R$ 37.00
65173,12/1/2019,Rio Mar Recife,Relógio Xadrez,5,R$ 214.00,"R$ 1,070.00"
65174,12/1/2019,Parque Dom Pedro Shopping,Calça,2,R$ 170.00,R$ 340.00
65174,12/1/2019,Parque Dom Pedro Shopping,Pulseira Liso,2,R$ 87.00,R$ 174.00
65175,12/1/2019,Ribeirão Shopping,Camisa Gola V Xadrez,2,R$ 107.00,R$ 214.00
65176,12/1/2019,Shopping SP Market,Camisa Gola V Liso,1,R$ 118.00,R$ 118.00
65176,12/1/2019,Shopping SP Market,Pulseira Listrado,1,R$ 79.00,R$ 79.00
65177,12/1/2019,Parque Dom Pedro Shopping,Terno Linho,1,R$ 750.00,R$ 750.00
65177,12/1/2019,Parque Dom Pedro Shopping,Cinto Linho,1,R$ 248.00,R$ 248.00
65179,12/1/2019,Norte Shopping,Gorro Xadrez,1,R$ 85.00,R$ 85.00
65179,12/1/2019,Norte Shopping,Bermuda,2,R$ 150.00,R$ 300.00
65179,12/1/2019,Norte Shopping,Camisa Gola V Xadrez,5,R$ 107.00,R$ 535.00
65179,12/1/2019,Norte Shopping,Camisa,2,R$ 100.00,R$ 200.00
65179,12/1/2019,Norte Shopping,Camisa,2,R$ 100.00,R$ 200.00
65180,12/1/2019,Iguatemi Campinas,Casaco,1,R$ 250.00,R$ 250.00
65181,12/1/2019,Shopping SP Market,Chinelo Listrado,1,R$ 73.00,R$ 73.00
65182,12/1/2019,Shopping Center Interlagos,Bermuda,1,R$ 150.00,R$ 150.00
65183,12/1/2019,Parque Dom Pedro Shopping,Camisa Gola V,2,R$ 100.00,R$ 200.00
65185,12/1/2019,Shopping SP Market,Short Linho,2,R$ 133.00,R$ 266.00
65185,12/1/2019,Shopping SP Market,Sapato Liso,5,R$ 368.00,"R$ 1,840.00"
65185,12/1/2019,Shopping SP Market,Short Linho,1,R$ 133.00,R$ 133.00
65186,12/1/2019,Parque Dom Pedro Shopping,Polo,1,R$ 130.00,R$ 130.00
65189,12/1/2019,Center Shopping Uberlândia,Camiseta Linho,1,R$ 223.00,R$ 223.00
65189,12/1/2019,Center Shopping Uberlândia,Mochila,2,R$ 270.00,R$ 540.00
65191,12/1/2019,Shopping Barra,Polo Liso,3,R$ 137.00,R$ 411.00
65192,12/1/2019,Shopping Iguatemi Fortaleza,Camisa Gola V Listrado,5,R$ 116.00,R$ 580.00
65192,12/1/2019,Shopping Iguatemi Fortaleza,Gorro Estampa,1,R$ 93.00,R$ 93.00
65193,12/1/2019,Novo Shopping Ribeirão Preto,Short Linho,3,R$ 133.00,R$ 399.00
65193,12/1/2019,Novo Shopping Ribeirão Preto,Tênis Linho,1,R$ 294.00,R$ 294.00
65193,12/1/2019,Novo Shopping Ribeirão Preto,Terno Listrado,1,R$ 709.00,R$ 709.00
65193,12/1/2019,Novo Shopping Ribeirão Preto,Camisa Gola V Linho,1,R$ 145.00,R$ 145.00
65193,12/1/2019,Novo Shopping Ribeirão Preto,Camisa Listrado,5,R$ 108.00,R$ 540.00
65194,12/1/2019,Shopping Midway Mall,Gorro Liso,3,R$ 92.00,R$ 276.00
65195,12/1/2019,Iguatemi Campinas,Relógio Xadrez,1,R$ 214.00,R$ 214.00
65195,12/1/2019,Iguatemi Campinas,Bermuda Listrado,3,R$ 163.00,R$ 489.00
65196,12/1/2019,Center Shopping Uberlândia,Pulseira Xadrez,2,R$ 87.00,R$ 174.00
65196,12/1/2019,Center Shopping Uberlândia,Terno Linho,1,R$ 750.00,R$ 750.00
65196,12/1/2019,Center Shopping Uberlândia,Cueca Xadrez,1,R$ 60.00,R$ 60.00
65197,12/1/2019,Norte Shopping,Sunga Linho,2,R$ 149.00,R$ 298.00
65198,12/1/2019,Iguatemi Campinas,Bermuda Linho,3,R$ 195.00,R$ 585.00
65200,12/1/2019,Parque Dom Pedro Shopping,Relógio Liso,2,R$ 216.00,R$ 432.00
65200,12/1/2019,Parque Dom Pedro Shopping,Polo Estampa,1,R$ 138.00,R$ 138.00
65200,12/1/2019,Parque Dom Pedro Shopping,Sunga Liso,2,R$ 114.00,R$ 228.00
65200,12/1/2019,Parque Dom Pedro Shopping,Camisa Gola V Liso,5,R$ 118.00,R$ 590.00
65201,12/1/2019,Bourbon Shopping SP,Sapato,2,R$ 350.00,R$ 700.00
65201,12/1/2019,Bourbon Shopping SP,Casaco Xadrez,2,R$ 259.00,R$ 518.00
65202,12/1/2019,Shopping União de Osasco,Sunga,1,R$ 100.00,R$ 100.00
65202,12/1/2019,Shopping União de Osasco,Casaco Liso,5,R$ 255.00,"R$ 1,275.00"
65202,12/2/2019,Shopping União de Osasco,Relógio Xadrez,1,R$ 214.00,R$ 214.00
65202,12/2/2019,Shopping União de Osasco,Mochila Linho,1,R$ 311.00,R$ 311.00
65204,12/2/2019,Shopping Iguatemi Fortaleza,Gorro Estampa,1,R$ 93.00,R$ 93.00
65204,12/2/2019,Shopping Iguatemi Fortaleza,Cinto Linho,2,R$ 248.00,R$ 496.00
